"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date"
"56","Yoo you guys are beyond talented. Young Kings. I’m happy you vibe with this record. <U+263A><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> I’m watching y’all https://t.co/uSYWuT6Kk4",FALSE,10166,NA,2018-03-24 01:37:59,FALSE,NA,"977358834262921216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NormaniKordei",2046,FALSE,FALSE,NA,NA,2018-03-24
"57","happy national puppy day. here are some photos of puppies walking on my face and eating my nose. https://t.co/98PCMfuKr2",FALSE,19363,NA,2018-03-24 07:00:23,FALSE,NA,"977439971534544896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GUBLERNATION",3469,FALSE,FALSE,NA,NA,2018-03-24
"58","Today is all about the generation coming up. I'm happy to stop talking and listen to what those under 21 are saying… https://t.co/LSw5uYR2JF",FALSE,13727,NA,2018-03-24 15:35:22,TRUE,NA,"977569571258454016",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","SethAbramson",3284,FALSE,FALSE,NA,NA,2018-03-24
"59","Happy Birthday #NicholasDworet today we celebrate him and remember not only the 16 others from my school that are w… https://t.co/OSwugsAzRa",FALSE,15205,NA,2018-03-24 12:00:08,TRUE,NA,"977515402975735808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","al3xw1nd",2717,FALSE,FALSE,NA,NA,2018-03-24
"60","the crowd in DC singing happy birthday Nick, who would have turned 18 today https://t.co/oTlZD77QvP",FALSE,19770,NA,2018-03-24 21:07:45,FALSE,NA,"977653217025806338",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evilemilie",3689,FALSE,FALSE,NA,NA,2018-03-24
"61","Sending a very special happy birthday to @topicmusictv !!! You’re so crazy talented and such an awesome person. So… https://t.co/EXlAmSVHGU",FALSE,7878,NA,2018-03-24 01:26:51,TRUE,NA,"977356031784230918",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AllyBrooke",1605,FALSE,FALSE,NA,NA,2018-03-24
"62","Happy to do that. I’ll donate all proceeds and see how else I can raise funds. @KyleKashuv has agreed, hope you wil… https://t.co/WKk5vvdjN9",FALSE,3211,NA,2018-03-24 00:37:19,TRUE,NA,"977343569945018368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RubinReport",840,FALSE,FALSE,NA,NA,2018-03-24
"63","I’m happy to endorse my friend and fellow candidate @AntonioSabatoJr for the US House of Representatives. God bless… https://t.co/PVwyVr9iTo",FALSE,1388,NA,2018-03-24 00:15:46,TRUE,NA,"977338145116008449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","REALStaceyDash",290,FALSE,FALSE,NA,NA,2018-03-24
"64","Happy Birthday Woman.. Hope you have another #RAVISHING year <ed><U+00A0><U+00BC><ed><U+00BD><U+00B0> @LanaWWE https://t.co/DnLC0qb75N",FALSE,8212,NA,2018-03-24 01:03:30,FALSE,NA,"977350157456039941",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsCharlotteWWE",745,FALSE,FALSE,NA,NA,2018-03-24
"65","Any friend of Bieber’s is a friend of ours <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Happy #NationalPuppyDay! https://t.co/3Pclgo5shS",FALSE,2929,NA,2018-03-24 01:00:32,FALSE,NA,"977349411830300678",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lovesimonmovie",459,FALSE,FALSE,NA,NA,2018-03-24
